observation_id,article_id,company_id,observation_date,observation_year,observation_quarter,observation_year_month,arr_usd_M,arr_usd
ARR0347,ART0546,COMP016,18-07-2024,2024,3,2024-07,58500,58500000000
ARR0348,ART0223,COMP016,15-05-2023,2023,2,2023-05,36000,36000000000
ARR0349,ART0006,COMP016,26-10-2021,2021,4,2021-10,16800,16800000000
ARR0350,ART0683,COMP017,04-04-2024,2024,2,2024-04,2790,2790000000
ARR0351,ART0634,COMP017,10-06-2023,2023,2,2023-06,1600,1600000000
ARR0352,ART0520,COMP017,17-08-2023,2023,3,2023-08,1720,1720000000
ARR0353,ART0011,COMP017,25-10-2021,2021,4,2021-10,320,320000000
ARR0354,ART0464,COMP017,31-10-2020,2020,4,2020-10,95,95000000
ARR0355,ART0612,COMP017,24-04-2024,2024,2,2024-04,2790,2790000000
ARR0356,ART0714,COMP017,15-07-2024,2024,3,2024-07,3420,3420000000
ARR0357,ART0582,COMP017,12-03-2024,2024,1,2024-03,2250,2250000000
ARR0358,ART0432,COMP017,01-10-2021,2021,4,2021-10,320,320000000
ARR0359,ART0639,COMP017,02-07-2023,2023,3,2023-07,1450,1450000000
ARR0360,ART0553,COMP017,15-09-2024,2024,3,2024-09,3420,3420000000
ARR0361,ART0155,COMP017,19-11-2020,2020,4,2020-11,95,95000000
ARR0362,ART0188,COMP017,13-07-2021,2021,3,2021-07,240,240000000
ARR0363,ART0744,COMP017,17-09-2024,2024,3,2024-09,3420,3420000000
ARR0364,ART0390,COMP017,30-03-2021,2021,1,2021-03,130,130000000
ARR0365,ART0097,COMP017,20-10-2020,2020,4,2020-10,95,95000000
ARR0366,ART0102,COMP017,06-08-2020,2020,3,2020-08,75,75000000
ARR0367,ART0711,COMP017,02-10-2024,2024,4,2024-10,4050,4050000000
ARR0368,ART0549,COMP017,21-10-2023,2023,4,2023-10,1800,1800000000
ARR0369,ART0424,COMP017,16-02-2021,2021,1,2021-02,130,130000000
ARR0370,ART0710,COMP017,28-10-2024,2024,4,2024-10,4050,4050000000
ARR0371,ART0403,COMP017,21-05-2021,2021,2,2021-05,180,180000000
ARR0372,ART0402,COMP017,22-08-2023,2023,3,2023-08,1720,1720000000
ARR0373,ART0647,COMP017,09-01-2024,2024,1,2024-01,2250,2250000000
ARR0374,ART0071,COMP018,13-12-2022,2022,4,2022-12,1700,1700000000
ARR0375,ART0124,COMP018,23-08-2021,2021,3,2021-08,1320,1320000000
ARR0376,ART0413,COMP018,15-05-2022,2022,2,2022-05,1550,1550000000
ARR0377,ART0016,COMP018,20-04-2020,2020,2,2020-04,1030,1030000000
ARR0378,ART0672,COMP018,03-05-2024,2024,2,2024-05,2392,2392000000
ARR0379,ART0239,COMP018,08-06-2022,2022,2,2022-06,1550,1550000000
ARR0380,ART0471,COMP018,15-12-2020,2020,4,2020-12,1120,1120000000
ARR0381,ART0659,COMP018,23-05-2024,2024,2,2024-05,2484,2484000000
ARR0382,ART0703,COMP018,16-08-2023,2023,3,2023-08,2100,2100000000
ARR0383,ART0599,COMP018,06-07-2024,2024,3,2024-07,2576,2576000000
ARR0384,ART0099,COMP018,18-05-2022,2022,2,2022-05,1550,1550000000
ARR0385,ART0733,COMP018,26-03-2024,2024,1,2024-03,2392,2392000000
ARR0386,ART0479,COMP018,04-02-2023,2023,1,2023-02,1800,1800000000
ARR0387,ART0735,COMP018,27-08-2024,2024,3,2024-08,2576,2576000000
ARR0388,ART0635,COMP018,12-12-2024,2024,4,2024-12,2691,2691000000
ARR0389,ART0572,COMP018,21-10-2022,2022,4,2022-10,1700,1700000000
ARR0390,ART0481,COMP018,01-02-2021,2021,1,2021-02,1180,1180000000
ARR0391,ART0108,COMP018,27-08-2023,2023,3,2023-08,2100,2100000000
ARR0392,ART0575,COMP018,16-09-2023,2023,3,2023-09,2100,2100000000
ARR0393,ART0295,COMP018,05-09-2020,2020,3,2020-09,1080,1080000000
ARR0394,ART0329,COMP018,01-01-2021,2021,1,2021-01,1180,1180000000
ARR0395,ART0385,COMP018,05-04-2020,2020,2,2020-04,1030,1030000000
ARR0396,ART0537,COMP018,24-12-2022,2022,4,2022-12,1700,1700000000
ARR0397,ART0367,COMP018,19-01-2022,2022,1,2022-01,1460,1460000000
ARR0398,ART0059,COMP018,01-05-2023,2023,2,2023-05,1920,1920000000
ARR0399,ART0482,COMP018,16-12-2020,2020,4,2020-12,1120,1120000000
ARR0400,ART0641,COMP019,19-08-2024,2024,3,2024-08,85,85000000
ARR0401,ART0517,COMP019,10-09-2024,2024,3,2024-09,85,85000000
ARR0402,ART0544,COMP019,19-03-2024,2024,1,2024-03,35,35000000
ARR0403,ART0079,COMP020,09-07-2023,2023,3,2023-07,735,735000000
ARR0404,ART0487,COMP020,12-12-2023,2023,4,2023-12,760,760000000
ARR0405,ART0254,COMP020,18-11-2021,2021,4,2021-11,340,340000000
ARR0406,ART0219,COMP020,12-12-2023,2023,4,2023-12,760,760000000
ARR0407,ART0051,COMP020,02-10-2022,2022,4,2022-10,570,570000000
ARR0408,ART0741,COMP020,05-01-2024,2024,1,2024-01,897,897000000
ARR0409,ART0273,COMP020,17-11-2022,2022,4,2022-11,570,570000000
ARR0410,ART0578,COMP020,18-08-2022,2022,3,2022-08,500,500000000
ARR0411,ART0315,COMP020,18-10-2021,2021,4,2021-10,340,340000000
ARR0412,ART0217,COMP020,02-03-2020,2020,1,2020-03,100,100000000
ARR0413,ART0138,COMP020,26-06-2021,2021,2,2021-06,260,260000000
ARR0414,ART0515,COMP020,13-09-2023,2023,3,2023-09,735,735000000
ARR0415,ART0253,COMP020,01-08-2020,2020,3,2020-08,135,135000000
ARR0416,ART0333,COMP020,09-03-2021,2021,1,2021-03,210,210000000
ARR0417,ART0709,COMP020,25-05-2024,2024,2,2024-05,1026,1026000000
ARR0418,ART0370,COMP020,25-12-2022,2022,4,2022-12,570,570000000
ARR0419,ART0211,COMP020,09-01-2021,2021,1,2021-01,305,305000000
ARR0420,ART0608,COMP020,24-11-2023,2023,4,2023-11,760,760000000
ARR0421,ART0393,COMP020,24-01-2020,2020,1,2020-01,100,100000000
ARR0422,ART0428,COMP020,05-12-2020,2020,4,2020-12,160,160000000
ARR0423,ART0359,COMP020,10-07-2022,2022,3,2022-07,500,500000000
ARR0424,ART0678,COMP020,13-04-2024,2024,2,2024-04,1026,1026000000
ARR0425,ART0274,COMP020,17-05-2022,2022,2,2022-05,430,430000000
ARR0426,ART0055,COMP020,29-07-2020,2020,3,2020-07,135,135000000
ARR0427,ART0331,COMP020,23-06-2021,2021,2,2021-06,260,260000000
ARR0428,ART0072,COMP020,03-11-2021,2021,4,2021-11,340,340000000
ARR0429,ART0350,COMP020,18-10-2023,2023,4,2023-10,760,760000000
ARR0430,ART0550,COMP020,15-08-2023,2023,3,2023-08,735,735000000
ARR0431,ART0642,COMP020,10-10-2024,2024,4,2024-10,1307,1307000000
ARR0432,ART0669,COMP021,08-07-2024,2024,3,2024-07,3388,3388000000
ARR0433,ART0562,COMP021,16-11-2024,2024,4,2024-11,3612,3612000000
ARR0434,ART0386,COMP021,18-03-2021,2021,1,2021-03,1000,1000000000
ARR0435,ART0268,COMP021,03-10-2022,2022,4,2022-10,2180,2180000000
ARR0436,ART0508,COMP021,16-08-2024,2024,3,2024-08,3388,3388000000
ARR0437,ART0441,COMP021,22-05-2020,2020,2,2020-05,620,620000000
ARR0438,ART0730,COMP021,08-07-2024,2024,3,2024-07,3388,3388000000
ARR0439,ART0252,COMP021,11-11-2023,2023,4,2023-11,2800,2800000000
ARR0440,ART0702,COMP021,15-08-2024,2024,3,2024-08,3388,3388000000
ARR0441,ART0633,COMP021,16-11-2024,2024,4,2024-11,3612,3612000000
ARR0442,ART0206,COMP021,23-04-2023,2023,2,2023-04,2520,2520000000
ARR0443,ART0224,COMP021,21-04-2020,2020,2,2020-04,620,620000000
ARR0444,ART0313,COMP021,20-06-2023,2023,2,2023-06,2520,2520000000
ARR0445,ART0650,COMP021,05-08-2024,2024,3,2024-08,3388,3388000000
ARR0446,ART0571,COMP021,12-05-2023,2023,2,2023-05,2520,2520000000
ARR0447,ART0343,COMP021,06-12-2021,2021,4,2021-12,1530,1530000000
ARR0448,ART0724,COMP021,22-07-2022,2022,3,2022-07,2050,2050000000
ARR0449,ART0305,COMP021,26-01-2023,2023,1,2023-01,2350,2350000000
ARR0450,ART0061,COMP021,11-09-2020,2020,3,2020-09,730,730000000
ARR0451,ART0421,COMP021,10-02-2020,2020,1,2020-02,850,850000000
ARR0452,ART0492,COMP021,11-08-2020,2020,3,2020-08,730,730000000
ARR0453,ART0598,COMP021,27-05-2024,2024,2,2024-05,3192,3192000000
ARR0454,ART0328,COMP021,09-08-2022,2022,3,2022-08,2050,2050000000
ARR0455,ART0213,COMP021,18-03-2023,2023,1,2023-03,2350,2350000000
ARR0456,ART0228,COMP022,17-07-2022,2022,3,2022-07,6100,6100000000
ARR0457,ART0120,COMP022,29-06-2023,2023,2,2023-06,7600,7600000000
ARR0458,ART0519,COMP022,04-05-2024,2024,2,2024-05,9180,9180000000
ARR0459,ART0040,COMP022,11-04-2023,2023,2,2023-04,7600,7600000000
ARR0460,ART0645,COMP022,21-06-2023,2023,2,2023-06,7600,7600000000
ARR0461,ART0552,COMP022,06-08-2024,2024,3,2024-08,9520,9520000000
ARR0462,ART0418,COMP022,11-06-2020,2020,2,2020-06,2100,2100000000
ARR0463,ART0611,COMP022,09-01-2024,2024,1,2024-01,9520,9520000000
ARR0464,ART0222,COMP022,07-11-2023,2023,4,2023-11,8500,8500000000
ARR0465,ART0033,COMP022,15-02-2022,2022,1,2022-02,5000,5000000000
ARR0466,ART0363,COMP022,01-11-2021,2021,4,2021-11,3000,3000000000
ARR0467,ART0446,COMP022,13-08-2021,2021,3,2021-08,3900,3900000000
ARR0468,ART0060,COMP022,20-01-2023,2023,1,2023-01,7000,7000000000
ARR0469,ART0493,COMP022,13-01-2023,2023,1,2023-01,7000,7000000000
ARR0470,ART0713,COMP022,23-01-2023,2023,1,2023-01,7000,7000000000
ARR0471,ART0070,COMP022,13-10-2021,2021,4,2021-10,4300,4300000000
ARR0472,ART0074,COMP022,15-05-2021,2021,2,2021-05,3450,3450000000
ARR0473,ART0207,COMP022,09-10-2020,2020,4,2020-10,2600,2600000000
ARR0474,ART0159,COMP022,11-02-2021,2021,1,2021-02,4300,4300000000
ARR0475,ART0663,COMP022,22-12-2023,2023,4,2023-12,8500,8500000000
ARR0476,ART0581,COMP022,16-09-2024,2024,3,2024-09,9520,9520000000
ARR0477,ART0258,COMP022,08-02-2023,2023,1,2023-02,7000,7000000000
ARR0478,ART0734,COMP022,12-12-2024,2024,4,2024-12,9945,9945000000
ARR0479,ART0017,COMP022,24-07-2021,2021,3,2021-07,3900,3900000000
ARR0480,ART0743,COMP022,22-10-2024,2024,4,2024-10,9945,9945000000
ARR0481,ART0121,COMP022,13-06-2023,2023,2,2023-06,7600,7600000000
ARR0482,ART0168,COMP022,15-02-2022,2022,1,2022-02,5000,5000000000
ARR0483,ART0589,COMP022,14-11-2024,2024,4,2024-11,9945,9945000000
ARR0484,ART0680,COMP022,17-02-2024,2024,1,2024-02,8925,8925000000
ARR0485,ART0257,COMP023,10-06-2023,2023,2,2023-06,2600,2600000000
ARR0486,ART0466,COMP023,12-09-2021,2021,3,2021-09,1380,1380000000
ARR0487,ART0202,COMP023,09-06-2021,2021,2,2021-06,1380,1380000000
ARR0488,ART0104,COMP023,05-06-2020,2020,2,2020-06,780,780000000
ARR0489,ART0720,COMP023,28-07-2024,2024,3,2024-07,3774,3774000000
ARR0490,ART0318,COMP023,08-03-2022,2022,1,2022-03,1700,1700000000
ARR0491,ART0220,COMP023,14-05-2022,2022,2,2022-05,1820,1820000000
ARR0492,ART0558,COMP023,28-05-2024,2024,2,2024-05,3672,3672000000
ARR0493,ART0355,COMP023,18-01-2020,2020,1,2020-01,720,720000000
ARR0494,ART0113,COMP023,28-01-2021,2021,1,2021-01,1050,1050000000
ARR0495,ART0416,COMP023,12-09-2023,2023,3,2023-09,2950,2950000000
ARR0496,ART0500,COMP023,30-05-2023,2023,2,2023-05,2600,2600000000
ARR0497,ART0053,COMP023,02-01-2023,2023,1,2023-01,2300,2300000000
ARR0498,ART0172,COMP023,02-05-2022,2022,2,2022-05,1820,1820000000
ARR0499,ART0251,COMP023,22-10-2021,2021,4,2021-10,1550,1550000000
ARR0500,ART0351,COMP023,09-02-2023,2023,1,2023-02,2300,2300000000
ARR0501,ART0101,COMP023,16-01-2020,2020,1,2020-01,720,720000000
ARR0502,ART0665,COMP023,25-10-2024,2024,4,2024-10,3910,3910000000
ARR0503,ART0592,COMP023,07-03-2024,2024,1,2024-03,3536,3536000000
ARR0504,ART0690,COMP023,21-07-2024,2024,3,2024-07,3774,3774000000
ARR0505,ART0158,COMP023,28-07-2022,2022,3,2022-07,1900,1900000000
ARR0506,ART0093,COMP023,02-10-2021,2021,4,2021-10,1550,1550000000
ARR0507,ART0443,COMP023,13-03-2023,2023,1,2023-03,2300,2300000000
ARR0508,ART0654,COMP023,19-05-2022,2022,2,2022-05,1820,1820000000
ARR0509,ART0746,COMP023,02-12-2024,2024,4,2024-12,3910,3910000000
ARR0510,ART0586,COMP023,16-12-2022,2022,4,2022-12,2050,2050000000
ARR0511,ART0618,COMP023,09-05-2024,2024,2,2024-05,3774,3774000000
ARR0512,ART0116,COMP024,10-10-2020,2020,4,2020-10,26000,26000000000
ARR0513,ART0514,COMP024,11-04-2024,2024,2,2024-04,96960,96960000000
ARR0514,ART0740,COMP024,01-07-2024,2024,3,2024-07,98880,98880000000
ARR0515,ART0442,COMP024,04-04-2023,2023,2,2023-04,90000,90000000000
ARR0516,ART0054,COMP024,04-10-2021,2021,4,2021-10,54000,54000000000
ARR0517,ART0677,COMP024,06-07-2023,2023,3,2023-07,94000,94000000000
ARR0518,ART0175,COMP024,28-08-2020,2020,3,2020-08,25200,25200000000
ARR0519,ART0480,COMP024,27-03-2021,2021,1,2021-03,31000,31000000000
ARR0520,ART0165,COMP024,29-05-2020,2020,2,2020-05,24500,24500000000
ARR0521,ART0707,COMP024,01-05-2023,2023,2,2023-05,82000,82000000000
ARR0522,ART0269,COMP024,08-03-2021,2021,1,2021-03,31000,31000000000
ARR0523,ART0007,COMP024,19-10-2022,2022,4,2022-10,75000,75000000000
ARR0524,ART0490,COMP024,04-06-2021,2021,2,2021-06,38000,38000000000
ARR0525,ART0380,COMP024,17-01-2021,2021,1,2021-01,31000,31000000000
ARR0526,ART0577,COMP024,19-01-2024,2024,1,2024-01,95040,95040000000
ARR0527,ART0547,COMP024,14-07-2024,2024,3,2024-07,98880,98880000000
ARR0528,ART0497,COMP024,19-12-2023,2023,4,2023-12,96000,96000000000
ARR0529,ART0406,COMP024,10-10-2020,2020,4,2020-10,26000,26000000000
ARR0530,ART0087,COMP024,09-02-2023,2023,1,2023-02,82000,82000000000
ARR0531,ART0015,COMP024,27-09-2020,2020,3,2020-09,25200,25200000000
ARR0532,ART0607,COMP024,22-03-2024,2024,1,2024-03,95040,95040000000
ARR0533,ART0360,COMP024,25-03-2023,2023,1,2023-03,82000,82000000000
ARR0534,ART0234,COMP024,28-02-2023,2023,1,2023-02,82000,82000000000
ARR0535,ART0400,COMP024,24-01-2023,2023,1,2023-01,82000,82000000000
ARR0536,ART0286,COMP025,07-06-2021,2021,2,2021-06,14500,14500000000
ARR0537,ART0540,COMP025,02-12-2024,2024,4,2024-12,37400,37400000000
ARR0538,ART0374,COMP025,21-05-2021,2021,2,2021-05,14500,14500000000
ARR0539,ART0382,COMP025,09-12-2022,2022,4,2022-12,25000,25000000000
ARR0540,ART0737,COMP025,28-02-2024,2024,1,2024-02,34680,34680000000
ARR0541,ART0389,COMP025,06-04-2021,2021,2,2021-04,14500,14500000000
ARR0542,ART0705,COMP025,17-06-2024,2024,2,2024-06,35360,35360000000
ARR0543,ART0013,COMP025,23-08-2023,2023,3,2023-08,32000,32000000000
ARR0544,ART0675,COMP025,08-10-2024,2024,4,2024-10,37400,37400000000
ARR0545,ART0602,COMP025,09-10-2024,2024,4,2024-10,36380,36380000000
ARR0546,ART0445,COMP025,13-10-2021,2021,4,2021-10,17000,17000000000
ARR0547,ART0225,COMP025,05-11-2022,2022,4,2022-11,25000,25000000000
ARR0548,ART0511,COMP025,11-07-2024,2024,3,2024-07,37400,37400000000
ARR0549,ART0574,COMP025,24-03-2024,2024,1,2024-03,34680,34680000000
ARR0550,ART0458,COMP025,14-10-2023,2023,4,2023-10,34000,34000000000
ARR0551,ART0161,COMP025,26-10-2022,2022,4,2022-10,25000,25000000000
ARR0552,ART0637,COMP025,06-03-2024,2024,1,2024-03,35360,35360000000
ARR0553,ART0240,COMP025,10-04-2020,2020,2,2020-04,10200,10200000000
ARR0554,ART0365,COMP025,14-04-2021,2021,2,2021-04,14500,14500000000
ARR0555,ART0749,COMP026,11-07-2024,2024,3,2024-07,180,180000000
ARR0556,ART0545,COMP026,28-10-2024,2024,4,2024-10,180,180000000
ARR0557,ART0627,COMP026,04-01-2024,2024,1,2024-01,20,20000000
ARR0558,ART0648,COMP026,25-05-2024,2024,2,2024-05,50,50000000
